,nk,xk,Sk,S(k-1),~Sk,Txkg(nk/T),h(nk/T)
0,246.0,-1433.0,99.48200000000001,100.0,99.80876129032258,0.5179999999999865,0.19123870967742107
1,-551.0,-882.0,99.50200000000001,99.48200000000001,99.30070151636075,-0.01999999999999602,0.18129848363926726
2,-454.0,-428.0,100.098,99.50200000000001,100.01033464566929,-0.5959999999999894,-0.5083346456692794
3,33.0,-461.0,99.26799999999999,100.098,99.25277351916375,0.8300000000000125,0.8452264808362457
4,-75.0,-386.0,99.47200000000001,99.26799999999999,99.37551166965886,-0.20400000000002194,-0.10751166965887649
5,183.0,-569.0,99.493,99.47200000000001,99.65268794326239,-0.020999999999986585,-0.18068794326238447
6,-405.0,-164.0,100.296,99.493,99.83074559686888,-0.8030000000000115,-0.33774559686888495
7,713.0,-877.0,99.113,100.296,99.59448979591836,1.183000000000007,0.701510204081643
8,-306.0,-571.0,99.53399999999999,99.113,99.3752753164557,-0.42099999999999227,-0.2622753164556997
9,-80.0,-491.0,99.28399999999999,99.53399999999999,99.49113461538461,0.25,0.04286538461538214
10,773.0,-1264.0,99.206,99.28399999999999,99.73900873709292,0.07799999999998875,-0.4550087370929248
11,-85.0,-1179.0,99.765,99.206,99.47053941908715,-0.5589999999999975,-0.26453941908714285
12,10.0,-1189.0,99.68,99.765,99.75917708333334,0.08499999999999375,0.005822916666659239
13,252.0,-1441.0,99.471,99.68,99.69377906976746,0.20900000000000318,-0.013779069767451801
14,-167.0,-1274.0,99.758,99.471,99.66016393442625,-0.28699999999999193,-0.18916393442624724
15,-310.0,-964.0,100.14,99.758,99.98419584569733,-0.382000000000005,-0.2261958456973332
16,-578.0,-386.0,99.912,100.14,99.86282352941177,0.22799999999999443,0.2771764705882305
17,-115.0,-271.0,100.37,99.912,100.2086361829026,-0.4579999999999984,-0.29663618290258853
18,-91.0,-180.0,100.035,100.37,100.41805052005944,0.33500000000000796,-0.048050520059433666
19,-14.0,-166.0,99.976,100.035,99.904,0.0589999999999975,0.13100000000000023
20,-19.0,-147.0,99.988,99.976,99.90689972899729,-0.012000000000000455,0.06910027100271066
21,-7.0,-140.0,100.79899999999999,99.988,100.30680152671756,-0.8109999999999928,-0.31880152671756434
22,-222.0,82.0,100.887,100.79899999999999,100.82873495934959,-0.08800000000000807,-0.02973495934959658
23,82.0,0.0,100.948,100.887,101.05863243243245,-0.06099999999999284,-0.17163243243244608
