,Quantile,VaR for h = 0.001,VaR for h = 0.003,VaR for h = 0.01
0,99.90%,6.91%,6.91%,6.91%
1,99.00%,5.70%,5.46%,5.86%
2,95.00%,3.68%,3.68%,4.08%
3,90.00%,2.82%,2.78%,3.03%
4,85.00%,2.11%,2.15%,2.34%
5,80.00%,1.66%,1.71%,1.91%
6,75.00%,1.39%,1.35%,1.54%
7,70.00%,1.04%,1.04%,1.19%
