,Window,Variance GBP,Variance SEK,Variance CAD,Covariance SEK - GBP,Covariance SEK - CAD,Covariance GBP - CAD
0,0.13403674696103018,6.8518311888999355e-06,4.388210366889987e-06,1.8514327304584896e-05,1.5878392111364882e-06,1.8827501079917328e-06,1.5245047389845155e-06
1,0.24185543174824609,8.89902754566989e-06,5.070942071534744e-06,2.5799521517836286e-05,7.032613769673432e-08,8.519384967509874e-07,-2.2865662294432075e-06
2,0.7506395715598829,6.508418465464962e-05,8.411710468320602e-06,3.203668790594308e-05,-2.3778951049099685e-06,3.691833342521802e-06,5.02483831339294e-07
3,0.8203300618623028,6.592732801604932e-05,8.950716287208367e-06,2.9107823515027673e-05,1.4433057223982758e-06,4.377143663571106e-06,6.916997673470883e-06
4,0.990999443281912,6.004109477830712e-05,1.0423112862547016e-05,2.4341414121794707e-05,1.4301765184892097e-05,4.826094682284115e-06,5.7529451336092426e-06
5,0.3244833844710644,1.3854632576599124e-05,4.9705173781080935e-06,2.281919626235807e-05,-3.8618879840174775e-06,-3.787946682552571e-07,1.394282042689457e-06
6,0.9307670103711582,6.429363017107452e-05,9.908310516934892e-06,2.5043981546097422e-05,-4.4393353608344783e-07,4.738740430354898e-06,4.8728545091291865e-06
7,0.14093452993167188,8.452143974698354e-06,3.909965402578765e-06,2.2558137224837088e-05,1.78608934656931e-06,5.948908071714152e-07,1.5325662998226174e-06
8,0.5553795052118182,4.649089463524027e-05,7.429250768431658e-06,2.1947663100191487e-05,4.802452169902129e-06,1.0957030643617754e-06,-1.0535617179908478e-06
9,0.15112171160742494,8.79434546723768e-06,4.847554489301604e-06,1.7153635751270045e-05,-1.3325279534122834e-06,4.964885736295942e-07,-9.637898463952734e-07
10,0.9643891688373949,7.391801339715348e-05,8.387553338704532e-06,3.0342784040317572e-05,1.774172649977593e-07,5.43072856794256e-06,7.742392519037821e-06
11,0.8073299684727582,6.895642483670253e-05,8.30216152774826e-06,3.162378239939772e-05,2.910093501756529e-06,1.1765975699453545e-06,5.010284030990762e-06
12,0.4844562601353275,2.425901346165561e-05,7.71691075537944e-06,2.493919827279913e-05,3.893046950581348e-06,1.7432074939223395e-06,-5.801214663278009e-07
13,0.9236073368230523,6.553906621405015e-05,7.871871028997703e-06,2.2834905079888225e-05,2.8947062739939845e-06,4.291798936867827e-06,4.8437065229007234e-06
14,0.6992024629394259,6.549124589476137e-05,7.339019184117914e-06,2.9926986230183838e-05,-4.222408247106307e-06,1.5829543358089442e-06,2.2889275553285835e-06
15,0.4298790481132193,1.9764899148543512e-05,8.432839012953507e-06,2.7601029495666582e-05,-9.884207032298741e-07,-1.0893486210897497e-06,2.533200624758955e-06
16,0.6354378461455216,5.1633359156023944e-05,9.518695579404343e-06,2.7632141427644724e-05,6.110182859423706e-06,8.894454886101987e-07,-1.8585736305881243e-06
17,0.29951594502606405,1.243196947828839e-05,4.701860630620059e-06,2.4484528179535663e-05,-2.954721553684051e-07,-2.2633906795671009e-07,-1.3227172344920155e-06
18,0.16568792644426644,7.462510143554885e-06,3.781401210464296e-06,2.0616693550249607e-05,8.197574727319089e-07,6.890039998614054e-07,1.33549122393288e-06
19,0.14530149895186495,6.812157044669508e-06,3.65962487433344e-06,2.189554256578335e-05,4.696002240266805e-07,9.309124765324334e-07,5.508789877050436e-07
