,returns,CDF for h = 0.001,CDF for h = 0.003,CDF for h = 0.01
166,-0.0136,0.2536018730585086,0.24722481731848134,0.27301608518153814
272,-0.0135,0.249583523036004,0.2508539246614225,0.27631299414728444
358,-0.0135,0.2521294073851514,0.25237551431056826,0.27243930868829747
177,-0.0134,0.2544209628608329,0.25294672275198904,0.2775361346569395
111,-0.0131,0.25787481918349314,0.25391259231382257,0.28168203474842035
51,-0.0126,0.2584873178468138,0.2680623484122633,0.2875834543576034
492,-0.0125,0.2652791823526708,0.2684919173306718,0.28920184351455885
503,-0.0123,0.270198991056664,0.2703582483783121,0.29317322935852863
58,-0.012,0.27255569664549667,0.2721136689461887,0.2981215540901075
52,-0.0119,0.2698051806763486,0.2779401900221899,0.3014498028967996
305,-0.0116,0.27618332869939244,0.2813991616036384,0.3042234086344885
253,-0.0116,0.2828893295594168,0.28129159482525173,0.30527105994804415
403,-0.0114,0.2831732739879541,0.2819578918371677,0.307173223653842
423,-0.0113,0.28658473353124403,0.2847522457095088,0.30729666462237565
314,-0.0111,0.28493325087316534,0.29006170756252647,0.310123018474039
46,-0.011,0.2859751569122423,0.29260912213470164,0.31216578409162643
399,-0.0108,0.2850352414974173,0.2933043594981056,0.31336244739824826
71,-0.0108,0.28750380008266885,0.29052771548515677,0.3148788437863303
79,-0.0106,0.29048727967717475,0.29746330956429523,0.31806604869887123
398,-0.0104,0.3004323450065281,0.3011873539979328,0.32146872454784764
222,-0.0104,0.2909971038132176,0.3020653878724972,0.3223306203300149
22,-0.0103,0.2967686075647089,0.3024346736267108,0.3227749489121643
17,-0.0102,0.29774682532962965,0.30420848257794797,0.3224420551582043
167,-0.0101,0.30500939925971954,0.30419835551751295,0.3274880657551175
275,-0.01,0.3033937054356107,0.3095995182861356,0.32900750862069533
231,-0.01,0.3010940598388445,0.309401299177202,0.3261286515802121
213,-0.0098,0.30587928366284434,0.3089608035937006,0.3318307552977741
360,-0.0097,0.3057101710222665,0.31352032746047975,0.3316743919620943
251,-0.0096,0.30955009653979315,0.31297005118297255,0.3330958261953156
335,-0.0094,0.3098518262667412,0.31448689684669373,0.33872517155733745
393,-0.0093,0.31663238509142067,0.31983455052540793,0.33835745597752853
199,-0.0092,0.32025355528058197,0.3189805062116602,0.3412703506818434
126,-0.0092,0.3186274134688248,0.32076396413010666,0.33843078647818026
434,-0.0091,0.3188900536597716,0.3225562222170357,0.3426282475367084
212,-0.009,0.3241500641034826,0.3233355415880232,0.34320619640569133
316,-0.0087,0.33210114235031807,0.3322505485541176,0.3470750012939214
448,-0.0087,0.3281927611230344,0.33176876111124576,0.3497510405440384
92,-0.0087,0.32998211882296125,0.330202034525668,0.34898603247764903
141,-0.0085,0.3360306578715783,0.33622231927943363,0.351646884724294
138,-0.0084,0.3362127070554328,0.3347909851925187,0.35246078863856206
14,-0.0084,0.33458760715979907,0.3363431691640704,0.35265516716559836
228,-0.0084,0.3389609901377483,0.3372727532837951,0.3543916315832567
218,-0.0083,0.33810061299017186,0.33917813547884695,0.3537954794782844
363,-0.0083,0.33750471088644846,0.3401040614479733,0.3551838313115347
57,-0.0083,0.3343096096000505,0.3377725663480993,0.3550611409178746
455,-0.0082,0.34091330228645006,0.342343193205641,0.35532588329661996
307,-0.0082,0.3371603011913471,0.33864662249081295,0.3565094630556975
37,-0.0081,0.3381114747181201,0.3454866721892866,0.3582500504519552
311,-0.0078,0.34550015374754817,0.3456436004600059,0.36523512911897305
499,-0.0078,0.3536028825110954,0.3463671474699636,0.3625342610630993
416,-0.0076,0.35615289176671344,0.3522091843167346,0.36539535175747867
179,-0.0076,0.35108739719918325,0.3523225112094162,0.36693279679134394
365,-0.0072,0.36200427111285777,0.3597012752597733,0.3722572301036791
414,-0.0072,0.35609592253230227,0.3600820488270667,0.3728711288589669
444,-0.0071,0.3581931106224437,0.35713578124816214,0.37499083504029923
485,-0.007,0.3613701026037478,0.3607181542483537,0.3758414825639811
454,-0.007,0.3589001882917687,0.3616884481924259,0.3749183031053612
221,-0.007,0.3651227533784036,0.36323523433119,0.3746999647311065
119,-0.0069,0.3635636003969819,0.36428188179218846,0.3795734485575367
102,-0.0069,0.365048930943243,0.36241872119090013,0.3774773971084193
190,-0.0067,0.37133074758960943,0.3653637701151145,0.3795273066148161
299,-0.0063,0.36965521819632874,0.37672742941158577,0.3877239296474818
382,-0.0062,0.3808639862910832,0.37512106646435583,0.3896666121998794
421,-0.0061,0.38300531837468754,0.3792046374923757,0.39063027445719006
302,-0.0061,0.3786777182655474,0.3785135736731344,0.3912760374259822
34,-0.006,0.3778071245893659,0.377066307929366,0.39135233498826183
479,-0.0059,0.3837526711228052,0.3829101457295115,0.3909482972719462
412,-0.0058,0.38838525267786395,0.38925649258144557,0.39546054467032316
98,-0.0057,0.38689403081927626,0.3891602633475291,0.39535687402321035
375,-0.0056,0.3897427588026771,0.3872889279989963,0.40094885373474254
207,-0.0055,0.38648833317128994,0.39403549422026835,0.4013265675317581
67,-0.0055,0.3930443988003058,0.39444455626133695,0.40173703595031784
100,-0.0053,0.3892131458712248,0.3962994261139579,0.40490844685365374
348,-0.0052,0.395381768398958,0.39689733068695354,0.4046161832324277
150,-0.0051,0.3982871747403793,0.39983008022543676,0.40891456439113855
30,-0.0051,0.40125161555850203,0.40020841241974686,0.40799246788892063
208,-0.005,0.4016833064225016,0.4016415724130101,0.40973990769026386
392,-0.0049,0.4044447134027699,0.3999664077294452,0.4109866506963439
310,-0.0046,0.4076826584272717,0.41059134814773485,0.41501141470607134
