,Name,Value,Window
0,Min VAR GBP,2.4890867906510932e-06,0.011828809608558477
1,Min VAR SEK,1.6137153063966509e-06,0.011426797544071277
2,Min VAR CAD,1.049345684909721e-05,0.011426797544071277
3,Min Cov SEK GBP,-8.162354214361866e-06,0.7260402532417403
4,Min Cov SEK CAD,-3.121994355580148e-06,0.4086096222852126
5,Min Cov GBP CAD,-6.214723533750663e-06,0.5210395641662423
